Player Name,Points Per Game,Assists Per Game,Rebounds Per Game,Blocks Per Game,Steals Per Game,True Shooting Percentage,All Star Player?
b'Steve Blake',4.3,1.6,1.6,0,0.3,0.467798085,0
b'Steve Francis',19.9,6.5,6.9,0.4,1.8,0.564699205,1
b'Steve Novak',3.9,0.2,1,0.1,0.1,0.66236413,0
b'Steven Hunter',3.9,0.2,2.8,1.1,0.3,0.531045752,0
b'Stromile Swift',11.8,0.7,6.3,1.7,0.8,0.537340619,0
b'Taj Gibson',7.1,0.7,5.7,1.3,0.5,0.497477578,0
b'Tayshaun Prince',10.3,2.3,4.8,0.8,0.8,0.539379975,0
b'Terrence Ross',10.9,1,3.1,0.3,0.8,0.554538055,0
b'Thabo Sefolosha',6.7,1.9,3.7,0.4,0.9,0.49556213,0
b'Thaddeus Young',15.3,1.1,5,0.3,1.3,0.550359712,0
b'Tim Duncan*',21.7,2.4,11.4,2.5,0.9,0.54066175,1
b'Tim Thomas',7.2,0.9,2.5,0.2,0.5,0.548112058,0
b'Timofey Mozgov',4,0.4,3.1,0.7,0.4,0.516528926,0
b'Tobias Harris',11,1.3,5.2,0.8,0.6,0.528846154,0
b'Toney Douglas',10.6,3,3,0,1.1,0.536871961,0
b'Tony Allen',7.2,1.3,2.2,0.4,1,0.550122249,0
b'Tony Battie',6.7,1.1,6,1.4,0.6,0.537893385,0
b'Tony Parker',15.5,5.3,2.6,0,0.9,0.544241573,1
b'Tracy McGrady*',9.3,2.3,5.7,1.3,1.1,0.499570262,1
b'Travis Outlaw',5.4,0.6,2.1,0.7,0.5,0.532334385,0
b'Trenton Hassell',4.2,1.8,3.1,0.7,0.5,0.411119812,0
b'Trevor Ariza',4.6,1.1,3.8,0.2,1,0.462962963,0
b'Trevor Booker',8.4,0.8,6.5,0.9,1,0.550026192,0
b'Tristan Thompson',11.7,1.3,9.4,0.9,0.7,0.520462633,0
b'Troy Murphy',11.7,1.3,10.2,0.4,0.8,0.525700935,0
b'Ty Lawson',11.7,4.7,2.6,0.1,1,0.594995932,0
b'Tyreke Evans',17.8,5.6,4.8,0.5,1.5,0.481914663,0
b'Tyrus Thomas',6.8,1.2,4.6,1,0.6,0.488786659,0
b'Tyson Chandler',9.2,1,6.9,1.4,0.5,0.559883155,1
b'Udonis Haslem',10.9,1.4,9.1,0.5,0.8,0.590337955,0
b'Vince Carter',25.7,3.9,5.8,1.1,1.3,0.543386333,1
b'Vladimir Radmanovi\xc4\x87',10.1,1.3,4.5,0.3,0.9,0.509277935,0
b'Wally Szczerbiak',14,3.2,5.5,0.4,0.7,0.569105691,1
b'Wayne Ellington',6.6,1.2,1.7,0,0.5,0.485579753,0
b'Wesley Johnson',6,0.9,2.7,0.7,0.5,0.474683544,0
b'Wesley Matthews',15.9,2,3.1,0.1,1.2,0.58576481,0
b'Will Barton',4,0.8,1.8,0.2,0.2,0.481695568,0
b'Willie Green',7.7,1.8,2.3,0.1,0.6,0.460086042,0
b'Wilson Chandler',14.4,2.1,5.4,0.9,0.9,0.512674452,0
b'Yao Ming*',17.5,1.5,9,1.9,0.3,0.588195752,1
b'Zach Randolph',8.4,0.5,4.5,0.2,0.5,0.55089192,1
b'Zaza Pachulia',6.2,0.8,5.1,0.5,0.6,0.525423729,0
