Player Name,Points Per Game,Assists Per Game,Rebounds Per Game,Blocks Per Game,Steals Per Game,True Shooting Percentage,All Star Player?
b'D.J. Augustin',6.4,2.4,1.2,0.1,0.6,0.524246396,0
b'Dahntay Jones',4.5,0.4,1.3,0.2,0.3,0.532166509,0
b'Damian Lillard',20.7,5.6,3.5,0.3,0.8,0.569056521,1
b'Damien Wilkins',6.5,1.3,2.3,0.1,0.9,0.525889968,0
b'Dan Gadzuric',5.7,0.4,4.6,1.4,0.7,0.527387121,0
b'Danilo Gallinari',15.1,1.7,4.9,0.7,0.9,0.577570379,0
b'Danny Fortson',11,0.6,11.6,0.4,0.6,0.56561086,0
b'Danny Granger',13.9,1.4,4.6,0.7,0.8,0.570420223,1
b'Dante Cunningham',6.2,0.6,3.6,0.6,0.7,0.480471172,0
b'Darius Miles',9.5,2.2,5.5,1.3,0.9,0.518332606,0
b'Darius Songaila',7.5,1.4,4.2,0.2,0.6,0.566807739,0
b'Darko Mili\xc4\x8di\xc4\x87',1.8,0.2,1.2,0.5,0.1,0.38071066,0
b'Darrell Arthur',4.5,0.5,3.4,0.4,0.4,0.450360288,0
b'Darren Collison',13.2,5.1,2.8,0.2,1.1,0.537634409,0
b'David Lee',10.7,1.8,10.4,0.4,0.8,0.650851582,1
b'DeAndre Jordan',4.8,0.3,5,0.9,0.2,0.572519084,1
b'Delonte West',11.8,4.6,4.1,0.6,1.2,0.57752545,0
b'DeMar DeRozan',17.2,1.8,3.8,0.4,1,0.529035433,1
b'DeMarcus Cousins',18.1,1.6,11,1.2,1.5,0.498567651,1
b'Derek Anderson',10.8,3.8,2.9,0.1,1.3,0.529827316,0
b'DerMarr Johnson',8.4,1.1,3.4,0.8,0.9,0.514705882,0
b'Deron Williams',16.2,9.3,3.3,0.2,1,0.535430989,1
b'Derrick Favors',6.3,0.4,5.3,0.7,0.3,0.540865385,0
b'Derrick Rose',20.8,6,3.8,0.3,0.7,0.533552227,1
b'DeSagana Diop',1.5,0.5,2.7,1,0.4,0.361271676,0
b'DeShawn Stevenson',4.9,1.7,2,0.4,0.4,0.418660287,0
b'Desmond Mason',12.4,1.4,4.7,0.4,0.9,0.529552443,0
b'Devean George',3.1,0.3,1.9,0.3,0.3,0.397843943,0
b'Devin Harris',9.9,3.2,2.2,0.3,0.9,0.547082228,1
b'Dion Waiters',15.9,3,2.8,0.2,0.9,0.506498471,0
b'Dirk Nowitzki',17.5,2.5,6.5,0.8,0.8,0.566416365,1
b'Draymond Green',6.2,1.9,5,0.9,1.2,0.495207668,1
b'Drew Gooden',12.1,1.2,5.8,0.4,0.7,0.486178078,0
b'Dwight Howard',15.8,1.5,12.5,1.4,0.8,0.567855089,1
b'Dwyane Wade',24.1,6.8,5.2,1.1,1.6,0.561614467,1
b'Earl Watson',5.5,2.8,2.1,0.2,1.1,0.51077266,0
b'Ed Davis',6.3,0.9,6.6,1,0.6,0.542729152,0
b'Eddie House',8,1.9,1.7,0.1,0.7,0.467726848,0
b'Eddy Curry',10.5,0.5,4.4,0.8,0.2,0.607638889,0
b'Eduardo N\xc3\xa1jera',6.5,0.6,5.5,0.5,0.9,0.554986339,0
b'Ekpe Udoh',5.6,0.9,4.2,1.7,0.7,0.496806246,0
b'Elton Brand',20.1,3.2,10.1,1.6,1,0.523001665,1
b'Enes Kanter',7.2,0.4,4.3,0.5,0.4,0.585556278,0
b'Eric Bledsoe',3.3,1.7,1.6,0.4,0.8,0.447882736,0
b'Eric Gordon',16.9,3,2.6,0.2,1.1,0.574361066,0
b'Etan Thomas',4.8,0.1,4.3,0.6,0.2,0.545454545,0
b'Evan Fournier',8.4,1.5,2.7,0.1,0.4,0.531376518,0
b'Evan Turner',9.4,2.8,5.8,0.3,0.6,0.477254265,0
b'Francisco Elson',3.7,0.5,3,0.6,0.5,0.496244635,0
b'Francisco Garc\xc3\xada',6,1.1,2.6,0.5,0.6,0.553914328,0
b'George Hill',12.4,2.9,2.6,0.3,0.9,0.573012939,0
b'Gerald Green',10.4,1,2.6,0.3,0.5,0.521042084,0
b'Gerald Henderson',9.6,1.5,3,0.5,0.7,0.507614213,0
b'Gerald Wallace',4.7,0.5,2.7,0.3,0.5,0.510425717,1
b'Gilbert Arenas',18.3,6.3,4.7,0.2,1.5,0.541163946,1
b'Glen Davis',7,0.9,4,0.3,0.7,0.506365741,0
b'Goran Dragi\xc4\x87',7.9,3,2.1,0.1,0.6,0.565902579,1
b'Gordon Hayward',11.8,3.1,3.5,0.6,0.8,0.5651341,1
b'Greg Buckner',6.2,1.3,4.2,0.2,0.9,0.502594034,0
b'Greg Monroe',15.4,2.3,9.7,0.7,1.3,0.566009997,0
b'Hakim Warrick',12.7,0.9,5.1,0.4,0.5,0.589710253,0
b'Harrison Barnes',9.5,1.5,4,0.3,0.8,0.489085667,0
b'Hedo T\xc3\xbcrko\xc4\x9flu',10.1,2,4.5,0.4,0.7,0.511340624,0
b'Hilton Armstrong',2.7,0.4,2.5,0.5,0.2,0.484913793,0
b'Iman Shumpert',6.8,1.7,3,0.2,1,0.519877676,0
b'Ira Newble',8,1.1,5.3,0.5,0.9,0.553709856,0
b'Isaiah Thomas',13.9,4,2,0,0.8,0.575140682,1
b'J.J. Barea',4.3,1.3,1.1,0,0.3,0.505644403,0
b'J.J. Hickson',8.5,0.5,4.9,0.5,0.4,0.583791209,0
